segment,stockcode,description,total_quantity,total_revenue,total_orders,unique_customers
At Risk,BANK CHARGES,Bank Charges,10,150.0,9,5
At Risk,C2,CARRIAGE,13,650.0,13,5
At Risk,D,Discount,1,57.63,1,1
At Risk,M,Manual,308,22283.690000000002,51,39
At Risk,PADS,PADS TO MATCH ALL CUSHIONS,2,0.002,2,2
At Risk,POST,POSTAGE,205,5219.95,96,31
At Risk,TEST001,This is a test product.,45,202.5,8,1
At Risk,TEST002,This is a test product.,1,1.0,1,1
Champions,10002,INFLATABLE POLITICAL GLOBE ,6743,5260.17,197,91
Champions,10080,GROOVY CACTUS INFLATABLE,237,98.41,19,16
Champions,10109,BENDY COLOUR PENCILS,4,1.68,1,1
Champions,10120,DOGGY RUBBER,446,93.66,37,28
Champions,10123C,HEARTS WRAPPING TAPE ,415,173.27,23,17
Champions,10123G,ARMY CAMO WRAPPING TAPE,1135,86.39,8,8
Champions,10124A,SPOTS ON RED BOOKCOVER TAPE,34,14.28,10,10
Champions,10124G,ARMY CAMO BOOKCOVER TAPE,16,6.72,4,4
Champions,10125,MINI FUNKY DESIGN TAPES,1479,1196.95,70,42
Champions,10133,COLOURING PENCILS BROWN TUBE,1648,1000.32,112,81
Champions,10134,COLOURING PENCILS BROWN TUBE,331,375.75,20,17
Champions,10135,COLOURING PENCILS BROWN TUBE,1746,1727.89,138,80
Champions,10138,ASSORTED COLOUR JUMBO PEN,92,38.64,10,8
Champions,11001,ASSTD DESIGN RACING CAR PEN,3204,4802.2,109,60
Champions,15030,FAN BLACK FRAME ,45,13.049999999999999,8,7
Champions,15034,PAPER POCKET TRAVELING FAN ,7728,863.5200000000001,100,60
Champions,15036,ASSORTED COLOURS SILK FAN,22491,15928.01,374,140
Champions,15039,SANDALWOOD FAN,2535,1655.55,100,60
Champions,15044A,PINK PAPER PARASOL ,1088,2976.0800000000004,125,57
Champions,15044B,BLUE PAPER PARASOL ,812,2201.0,89,47
Champions,15044C,PURPLE PAPER PARASOL,577,1587.75,91,44
Champions,15044D,RED PAPER PARASOL,1050,2863.54,122,51
Champions,15056BL,EDWARDIAN PARASOL BLACK,7532,36281.020000000004,500,148
Champions,15056N,EDWARDIAN PARASOL NATURAL,8141,39232.76,539,145
Champions,15056P,EDWARDIAN PARASOL PINK,1661,7726.76,192,94
Champions,15058A,BLUE POLKADOT GARDEN PARASOL,107,790.65,32,21
Champions,15058A,BLUE WHITE SPOTS GARDEN PARASOL,139,717.05,25,18
Champions,15058B,PINK POLKADOT GARDEN PARASOL,93,691.35,29,20
Champions,15058B,PINK WHITE SPOTS GARDEN PARASOL,115,650.25,29,20
Champions,15058C,ICE CREAM DESIGN GARDEN PARASOL,309,1456.55,50,37
Champions,15059A,ENGLISH ROSE EDWARDIAN PARASOL,505,1515.0,1,1
Champions,15060B,FAIRY CAKE DESIGN UMBRELLA,645,2341.17,154,75
Champions,16008,SMALL FOLDING SCISSOR(POINTED EDGE),2175,282.99,50,30
Champions,16010,FOLDING CAMPING SCISSOR W/KNIF & S,24,2.88,1,1
Champions,16011, ANIMAL STICKERS,217,45.57,8,6
Champions,16011,ANIMAL STICKERS,2652,556.92,59,33
Champions,16012,FOOD/DRINK SPONGE STICKERS,1276,267.96,39,32
Champions,16012,FOOD/DRINK SPUNGE STICKERS,639,134.19,15,13
Champions,16014,SMALL CHINESE STYLE SCISSOR,18234,5892.28,54,22
Champions,16015,MEDIUM CHINESE STYLE SCISSOR,896,373.38,34,17
Champions,16016,LARGE CHINESE STYLE SCISSOR,1520,1195.8,69,28
Champions,16020C,CLEAR STATIONERY BOX SET ,34,28.9,11,9
Champions,16033,MINI HIGHLIGHTER PENS,3721,446.52,25,23
Champions,16043,POP ART PUSH DOWN RUBBER ,1106,96.72,5,4
Champions,16044,POP-ART FLUORESCENT PENS,48,20.16,1,1
Champions,16045,POPART WOODEN PENCILS ASST,4200,176.0,36,29
Champions,16046,TEATIME PEN CASE & PENS,4977,492.21,21,20
Champions,16047,POP ART PEN CASE & PENS,5264,482.72,12,10
Champions,16048,TEATIME ROUND PENCIL SHARPENER ,2340,318.9,35,26
Champions,16049,TEATIME GEL PENS ASST,2424,413.28,17,14
Champions,16050,TEATIME PENCIL WITH RUBBER,1,0.25,1,1
Champions,16051,TEATIME PENCIL W STAMP ASST,36,15.12,1,1
Champions,16052,TEATIME PUSH DOWN RUBBER,684,196.43,16,13
Champions,16053,POPART COL BALLPOINT PEN ASST,2198,101.58,5,5
Champions,16054,POPART RECT PENCIL SHARPENER ASST,694,95.28,21,16
Champions,16119,FUNKY GIRL ADDRESS BOOK,173,90.97,6,6
Champions,16151A,FLOWER DES BLUE HANDBAG/ORANG HANDL,1,3.75,1,1
Champions,16151A,FLOWERS HANDBAG blue and orange,47,58.75,2,2
Champions,16156L,WRAP CAROUSEL,225,94.5,8,7
Champions,16156L,"WRAP, CAROUSEL",450,189.0,17,15
Champions,16156N,"WRAP, FRIENDSHIP ON GREEN",775,325.5,29,25
Champions,16156S,WRAP PINK FAIRY CAKES ,12211,4707.62,251,137
Champions,16161E,WRAP BOUDOIR ,50,5.0,2,2
Champions,16161G,WRAP BAD HAIR DAY,425,42.5,14,14
Champions,16161M,WRAP  PINK FLOCK,500,210.0,19,17
Champions,16161P,WRAP ENGLISH ROSE ,8398,3421.4,268,145
Champions,16161U,WRAP SUKI AND FRIENDS,4826,1944.92,144,88
Champions,16161U,"WRAP,SUKI AND FRIENDS",2375,957.5,71,51
Champions,16162L,THE KING GIFT BAG,4146,307.38,11,10
Champions,16162M,THE KING GIFT BAG 25x24x12cm,45,18.900000000000002,7,5
Champions,16168M,FUNKY MONKEY GIFT BAG MEDIUM,990,271.8,33,24
Champions,16168S,FUNKY MONKEY GIFT BAG SMALL,1262,118.38,6,3
Champions,16169A,WRAP CHRISTMAS DECOUPAGE,25,10.5,1,1
Champions,16169C,WRAP BLUE REINDEER,575,241.5,19,19
Champions,16169D,WRAP WINTER FOREST,150,63.0,5,5
Champions,16169E,WRAP 50'S  CHRISTMAS,2713,1115.46,87,81
Champions,16169F,WRAP BLIZZARD,450,189.0,17,17
Champions,16169G,WRAP ROMANTIC DECOUPAGE,25,10.5,1,1
Champions,16169K,WRAP FOLK ART,975,363.5,36,33
Champions,16169M,WRAP DAISY CARPET ,825,306.25,32,30
Champions,16169N,WRAP BLUE RUSSIAN FOLKART,875,327.25,31,27
Champions,16169P,WRAP GREEN RUSSIAN FOLKART ,800,295.75,32,30
Champions,16201A,PASTEL PINK PHOTO ALBUM,72,140.4,4,4
Champions,16201B,PASTEL BLUE PHOTO ALBUM,24,46.8,2,2
Champions,16202A,PASTEL PINK PHOTO ALBUM ,350,175.1,11,9
Champions,16202B,PASTEL BLUE PHOTO ALBUM ,570,325.93,13,8
Champions,16202C,BEIGE PHOTO ALBUM,80,166.8,7,7
Champions,16202E,BLACK PHOTO ALBUM ,40,67.8,7,7
Champions,16206B,RED PURSE WITH PINK HEART,34,38.9,5,4
Champions,16207A,PINK STRAWBERRY HANDBAG ,21,61.95000000000001,7,6
Champions,16207B,PINK HEART RED HANDBAG,198,277.61,9,8
Champions,16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,191,124.14999999999999,16,15
Champions,16215,FUNKY GIRLZ MAGNETIC TO DO LIST ,4,2.6,1,1
Champions,16216,LETTER SHAPE PENCIL SHARPENER,3263,274.66,45,36
Champions,16218,CARTOON  PENCIL SHARPENERS,3291,268.16,43,34
Champions,16219,HOUSE SHAPE PENCIL SHARPENER,2424,304.29,44,36
Champions,16225,RATTLE SNAKE EGGS,821,640.97,74,53
Champions,16235,RECYCLED PENCIL WITH RABBIT ERASER,3271,653.01,96,69
Champions,16236,KITTY PENCIL ERASERS,1647,340.27,82,54
Champions,16237,SLEEPING CAT ERASERS,7302,1431.42,206,93
Champions,16238,PARTY TIME PENCIL ERASERS,1683,354.13,82,55
Champions,16239,BALLERINA HEART DECORATION.,324,427.1,8,8
Champions,16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,49,97.85,2,2
Champions,16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,57,109.94999999999999,4,4
Champions,16245A,PINK MINI STATIONERY SET W CASE,5,6.25,3,3
Champions,16248B,BLUE HOLE PUNCH,24,30.0,6,6
Champions,16254,TRANSPARENT ACRYLIC TAPE DISPENSER,38,33.86,11,9
Champions,16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,222,93.24,8,5
Champions,16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,147,61.74,7,5
Champions,16258A,SWIRLY CIRCULAR RUBBERS IN BAG,562,177.38,40,26
Champions,16258B,DAISY ERASERS IN BAG,375,88.5,8,8
Champions,16259,PIECE OF CAMO STATIONERY SET,2160,250.54,22,17
Champions,17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,900,209.16,10,9
Champions,17003,BROCADE RING PURSE ,58793,12149.21,244,106
Champions,17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,14,29.400000000000002,2,2
Champions,17011A,ORIGAMI VANILLA INCENSE+FLOWER ,151,72.9,3,3
Champions,17011B,ORIGAMI JASMINE INCENSE+FLOWER ,19,11.100000000000001,2,2
Champions,17011C,ORIGAMI LAVENDER INCENSE+FLOWER,334,217.1,1,1
Champions,17011D,ORIGAMI ROSE INCENSE+FLOWER,207,129.3,2,2
Champions,17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,124,80.60000000000001,1,1
Champions,17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,332,249.15,12,12
Champions,17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,533,497.25,25,21
Champions,17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,501,490.45,32,28
Champions,17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,578,562.6999999999999,35,27
Champions,17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,296,302.59999999999997,31,22
Champions,17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,206,198.89999999999998,6,6
Champions,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,360,334.9,29,21
Champions,17013B,ORIGAMI JASMINE INCENSE IN TUBE,255,217.6,2,2
Champions,17013C,ORIGAMI LAVENDER INCENSE IN TUBE,213,89.46000000000001,2,2
Champions,17013D,ORIGAMI ROSE INCENSE IN TUBE,919,435.45,16,12
Champions,17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,59,21.75,2,2
Champions,17014A,ORIGAMI VANILLA INCENSE CONES,102,44.07,3,3
Champions,17014C,ORIGAMI LAVENDER INCENSE CONES,96,40.32,1,1
Champions,17014D,ORIGAMI ROSE INCENSE CONES,475,192.63,4,4
Champions,17014E,ORIGAMI OPIUM INCENSE CONES,89,26.7,1,1
Champions,17014F,ORIGAMI SANDLEWOOD INCENSE CONES,58,18.749999999999996,2,2
Champions,17021,NAMASTE SWAGAT INCENSE,3778,965.64,44,18
Champions,17033,"BROCADE PURSE,SMALL ARCH BUTTON",1263,340.51,30,24
Champions,17038,PORCELAIN BUDAH INCENSE HOLDER,2169,186.9,21,12
Champions,17039,INLAID WOOD INCENSE HOLDER,1417,326.93,19,13
Champions,17084A,TRANQUILITY MASALA INCENSE,242,50.82,11,8
Champions,17084J,LOVE POTION MASALA INCENSE,204,42.84,9,9
Champions,17084N,FAIRY DREAMS INCENSE ,1441,286.36,39,21
Champions,17084P,DRAGONS BLOOD INCENSE,475,89.75,11,10
Champions,17084R,ASSORTED INCENSE PACK,9185,1594.05,40,17
Champions,17090A,LAVENDER INCENSE 40 CONES IN TIN,138,138.9,14,13
Champions,17090D,VANILLA INCENSE 40 CONES IN TIN,67,78.95,17,10
Champions,17091A,LAVENDER INCENSE IN TIN,1214,637.93,69,44
Champions,17091B,JASMINE TEA INCENSE IN TIN,172,186.2,21,14
Champions,17091F,SANDALWOOD INCENSE IN TIN,14,17.5,5,5
Champions,17091J,VANILLA INCENSE IN TIN,2316,1084.35,103,61
Champions,17096,ASSORTED LAQUERED INCENSE HOLDERS,1577,292.77,18,13
Champions,17107D,FLOWER FAIRY 5 DRAWER LINERS,44,112.2,12,10
Champions,17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,6,15.3,1,1
Champions,17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",186,474.3,39,30
Champions,17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,271,113.82000000000001,17,11
Champions,17109A,FLOWER FAIRY INCENSE LILY,664,257.56,7,6
Champions,17109B,FLOWER FAIRY INCENSE LAVENDER,298,126.33999999999999,9,6
Champions,17109C,FLOWER FAIRY INCENSE ROSE,285,121.4,8,6
Champions,17109D,FLOWER FAIRY INCENSE BOUQUET,762,323.62,16,13
Champions,17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,78,51.18,6,3
Champions,17129D,CLEAR COLOUR GLASS GEMS IN BAG,503,331.78999999999996,15,8
Champions,17129F,BLUE GLASS GEMS IN BAG,538,360.4,21,10
Champions,17129F,DEEP BLUE GLASS GEMS IN BAG,303,197.07,12,4
Champions,17136A,BLUE STONES ON WIRE FOR CANDLE,452,37.72,20,14
Champions,17164B,ASS COL SMALL SAND GECKO P'WEIGHT,866,342.12,32,27
Champions,17164D,ASS COL SMALL SAND FROG P'WEIGHT,396,151.92,8,8
Champions,17165B,ASS COL LARGE SAND GECKO P'WEIGHT,323,321.15,33,23
Champions,17165D,ASS COL LARGE SAND FROG P'WEIGHT,274,269.7,41,26
Champions,17174,ASSTD RASTA KEY-CHAINS,10,4.199999999999999,4,4
Champions,17178,FLAT PALM T-LIGHT HOLDER,75,84.15,8,7
Champions,17181,CIRCLE OF FRIENDS CANDLE HOLDER,118,137.7,10,9
Champions,17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,13,48.75,5,3
Champions,18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,3042,362.76,29,22
Champions,18010,ASSORTED FRAGRANCE BATH CONFETTI,14,5.88,2,2
Champions,18094C,WHITE AND BLUE CERAMIC OIL BURNER,267,295.35,29,13
Champions,18094C,WHITE/BLUE RECT CERAMIC OIL BURNER,8,10.0,2,1
Champions,18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,85,187.95000000000002,9,8
Champions,18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,9,22.95,6,5
Champions,18097B,BLUE TALL PORCELAIN T-LIGHT HOLDER,3,7.6499999999999995,1,1
Champions,18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,1099,2437.65,96,57
Champions,18098A,PINK PORCELAIN B'FLY OIL BURNER,2,5.9,2,2
Champions,18098B,BLUE PORCELAIN B'FLY OIL BURNER,2,5.9,2,2
Champions,18098C,PORCELAIN BUTTERFLY OIL BURNER,737,1718.15,107,49
Champions,20615,BLUE POLKADOT PASSPORT COVER,135,150.54,29,21
Champions,20615,BLUE SPOTTY PASSPORT COVER,171,234.1,23,19
Champions,20616,CHERRY BLOSSOM PASSPORT COVER,107,130.88,31,18
Champions,20617,FIRST CLASS PASSPORT COVER ,151,316.24,45,33
Champions,20618,QUEEN OF THE SKIES PASSPORT COVER ,134,276.48,51,31
Champions,20619,TROPICAL PASSPORT COVER ,295,434.93,48,27
Champions,20620,RED SPOTTY PASSPORT COVER,1,2.1,1,1
Champions,20621,ECONOMY PASSPORT COVER ,46,96.6,15,11
Champions,20622,VIP PASSPORT COVER ,22,46.2,9,6
Champions,20622,VIPPASSPORT COVER ,173,293.58,37,26
Champions,20652,BLUE POLKADOT LUGGAGE TAG ,73,98.51,28,17
Champions,20652,BLUE SPOTTY LUGGAGE TAG ,343,254.75,25,22
Champions,20653,CHERRY BLOSSOM LUGGAGE TAG,47,58.89,17,12
Champions,20654,FIRST CLASS LUGGAGE TAG ,202,245.66,53,37
Champions,20655,QUEEN OF SKIES LUGGAGE TAG,196,238.3,64,32
Champions,20657,TROPICAL LUGGAGE TAG,414,256.64,44,30
Champions,20658,RED RETROSPOT LUGGAGE TAG,345,431.25,60,39
Champions,20658,RED SPOTTY LUGGAGE TAG,577,718.97,83,55
Champions,20659,ECONOMY LUGGAGE TAG,189,258.31,58,28
Champions,20660,VIP LUGGAGE TAG ,52,65.0,13,10
Champions,20661,BLUE POLKADOT PURSE ,45,141.27,7,4
Champions,20661,BLUE SPOTTY PURSE ,370,257.50000000000006,17,17
Champions,20662,FIRST CLASS HOLIDAY PURSE ,345,192.27000000000004,12,10
Champions,20663,QUEEN OF THE SKIES HOLIDAY PURSE ,534,183.34,12,10
Champions,20664,TROPICAL HOLIDAY PURSE ,16,47.2,9,4
Champions,20665,RED RETROSPOT PURSE ,308,899.0000000000001,61,42
Champions,20665,RED SPOTTY PURSE ,383,1125.0500000000002,70,48
Champions,20666,ECONOMY HOLIDAY PURSE,424,134.0,8,8
Champions,20667,CHERRY BLOSSOM PURSE,11,32.45,5,2
Champions,20668,DISCO BALL CHRISTMAS DECORATION,16080,1780.92,210,97
Champions,20669,RED HEART LUGGAGE TAG,373,463.97,75,50
Champions,20670,VIP HOLIDAY PURSE,320,115.68,9,8
Champions,20671,BLUE TEATIME PRINT BOWL ,513,627.57,68,38
Champions,20672,PINK TEATIME PRINT BOWL,71,88.75,15,14
Champions,20673,STRAWBERRIES PRINT BOWL,1,1.25,1,1
Champions,20674,GREEN POLKADOT BOWL,1175,1401.56,121,63
Champions,20674,GREEN SPOTTY BOWL,938,1131.46,109,63
Champions,20675,BLUE POLKADOT BOWL,2254,2599.83,181,96
Champions,20675,BLUE SPOTTY BOWL,1790,2100.7000000000003,166,80
Champions,20676,RED RETROSPOT BOWL,3912,4496.91,256,121
Champions,20676,RED SPOTTY BOWL,2837,3309.13,215,108
Champions,20677,PINK POLKADOT BOWL,2752,3147.51,181,82
Champions,20677,PINK SPOTTY BOWL,2374,2734.94,173,92
Champions,20678,LARGE BLACK DIAMANTE HAIRSLIDE,4,6.6,1,1
Champions,20679,EDWARDIAN PARASOL RED,4590,20877.87,379,121
Champions,20680,PINK FLOWERS CHILDS UMBRELLA,4,13.0,2,2
Champions,20681,PINK POLKADOT CHILDRENS UMBRELLA,238,767.5,61,47
Champions,20681,PINK SPOTTY CHILDS UMBRELLA,626,1944.5,106,68
Champions,20682,RED RETROSPOT CHILDRENS UMBRELLA,1072,3402.66,181,116
Champions,20682,RED SPOTTY CHILDS UMBRELLA,955,2953.75,130,79
Champions,20683,RAIN GIRL CHILDS UMBRELLA,1,3.25,1,1
Champions,20684,STRAWBERRY DREAM CHILDS UMBRELLA,319,1030.75,101,65
Champions,20685,DOOR MAT RED SPOT,1880,11266.14,213,132
Champions,20685,DOORMAT RED RETROSPOT,4231,27480.93,535,234
Champions,20685,DOORMAT RED SPOT,811,5451.91,118,92
Champions,20685,RED SPOTTY COIR DOORMAT,845,4917.75,97,76
Champions,20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,360,1167.38,100,61
Champions,20688,BEAUTY SPEED EXPRESSO CUPS,15,53.25,5,5
Champions,20689,RETRO SISTERS EXPRESSO CUPS,38,130.1,12,11
Champions,20692,FLORAL ELEPHANT SOFT TOY,733,2827.25,69,38
Champions,20693,FLORAL DINOSAUR GREEN,17,72.25,10,8
Champions,20694,FLORAL PINK MONSTER,67,242.61,12,11
Champions,20695,FLORAL BLUE MONSTER,46,183.5,12,12
Champions,20696,FLORAL SOFT CAR TOY,78,292.5,22,17
Champions,20697,LITTLE GREEN MONSTER SOFT TOY,22,56.099999999999994,13,12
Champions,20698,LITTLE PINK MONSTER SOFT TOY,25,63.74999999999999,12,12
Champions,20699,MOUSEY LONG LEGS SOFT TOY,65,165.75,15,14
Champions,20700,GREEN CAT FLORAL CUSHION COVER ,250,337.5,6,5
Champions,20701,PINK CAT FLORAL CUSHION COVER ,271,356.25,7,6
Champions,20702,PINK PADDED MOBILE,413,1737.25,119,59
Champions,20703,BLUE PADDED SOFT MOBILE,208,884.0,77,48
Champions,20704,MR ROBOT SOFT TOY,232,684.4,33,30
Champions,20705,MRS ROBOT SOFT TOY,204,632.8,25,23
Champions,20707,CRAZY DAISY HEART DECORATION,1045,621.62,38,24
Champions,20711,JUMBO BAG TOYS ,9443,16702.03,473,185
Champions,20712,JUMBO BAG WOODLAND ANIMALS,11931,21999.68,690,225
Champions,20713,JUMBO BAG OWLS,17032,30628.87,697,216
Champions,20714,POSY SHOPPER BAG,1210,468.5,7,6
Champions,20715,LITTLE FLOWER SHOPPER BAG,400,424.0,1,1
Champions,20716,PARTY FOOD SHOPPER BAG,1014,1233.3,108,65
Champions,20717,STRAWBERRY SHOPPER BAG,3535,4198.53,330,139
Champions,20718,RED RETROSPOT SHOPPER BAG,4032,4768.31,329,166
Champions,20718,RED SPOTTY SHOPPER BAG,4643,5324.95,255,121
Champions,20719,WOODLAND CHARLOTTE BAG,15408,12096.19,811,195
Champions,20721,OWLS CHARLOTTE BAG,1,0.85,1,1
Champions,20723,STRAWBERRY CHARLOTTE BAG,9950,8029.8,728,200
Champions,20724,RED RETROSPOT CHARLOTTE BAG,10959,8730.15,687,221
Champions,20724,RED SPOTTY CHARLOTTE BAG,7270,5758.3,394,156
Champions,20725,LUNCH BAG RED RETROSPOT,17215,27155.15,1187,360
Champions,20725,LUNCH BAG RED SPOTTY,11676,18124.6,657,256
Champions,20726,LUNCH BAG WOODLAND,14350,22788.86,1156,318
Champions,20727,LUNCH BAG  BLACK SKULL.,17533,27717.05,1421,359
Champions,20728,LUNCH BAG CARS BLUE,14985,23647.93,1231,356
Champions,20729,RED SPOTTY CANDY BAG,269,328.65,48,20
Champions,20730,STRAWBERRY CANDY BAG,141,166.75,25,18
Champions,20731,POSY CANDY BAG,989,453.25,23,17
Champions,20733,GOLD MINI TAPE MEASURE ,1245,893.65,65,35
Champions,20734,SILVER MINI TAPE MEASURE ,1164,897.0999999999999,41,24
Champions,20735,BLACK MINI TAPE MEASURE ,738,532.1,44,13
Champions,20736,PINK MINI TAPE MEASURE ,218,172.3,9,9
Champions,20738,GREEN MINI TAPE MEASURE ,1341,1063.15,41,24
Champions,20747,PICCADILLY TEA SET,80,1156.3999999999999,36,20
Champions,20748,KENSINGTON COFFEE SET,126,1131.3,48,34
Champions,20749,ASSORTED COLOUR MINI CASES,2094,14586.26,404,182
Champions,20750, RED/WHITE DOT MINI CASES,317,2328.15,84,65
Champions,20750,RED RETROSPOT MINI CASES,1337,9537.949999999999,274,139
Champions,20750,RED/WHITE DOT MINI CASES,731,5094.65,142,88
Champions,20751,FUNKY WASHING UP GLOVES ASSORTED,1857,3806.2200000000003,236,120
Champions,20752,BLUE POLKADOT WASHING UP GLOVES,336,705.6,90,62
Champions,20752,RETRO BLUE SPOTTY WASHING UP GLOVES,523,783.3000000000001,66,49
Champions,20753,RETRO PINK SPOT WASHING UP GLOVES,142,298.2,26,19
Champions,20754,RETRO RED SPOTTY WASHING UP GLOVES,2372,4435.08,209,116
Champions,20754,RETROSPOT RED WASHING UP GLOVES,1318,2590.6800000000003,219,114
Champions,20755,BLUE PAISLEY POCKET BOOK,316,268.59999999999997,47,39
Champions,20756,GREEN FERN POCKET BOOK,98,83.3,21,18
Champions,20757,RED DAISY POCKET BOOK ,193,164.82999999999998,30,24
Champions,20758,ABSTRACT CIRCLES POCKET BOOK,120,102.0,33,24
Champions,20759,CHRYSANTHEMUM POCKET BOOK ,104,88.39999999999999,25,19
Champions,20760,GARDEN PATH POCKET BOOK,168,142.79999999999998,28,20
Champions,20761,BLUE PAISLEY SKETCHBOOK,249,661.17,61,41
Champions,20762,GREEN FERN SKETCHBOOK ,277,722.46,57,38
Champions,20763,DAISY SKETCHBOOK ,111,299.96,33,28
Champions,20764,ABSTRACT CIRCLES SKETCHBOOK ,363,946.78,74,50
Champions,20765,CHRYSANTHEMUM SKETCHBOOK ,295,735.49,59,43
Champions,20766,GARDEN PATH SKETCHBOOK,287,754.58,64,45
Champions,20767,BLUE PAISLEY JOURNAL ,460,886.22,82,59
Champions,20768,GREEN FERN JOURNAL ,397,723.16,62,47
Champions,20769,DAISY JOURNAL ,228,372.02,40,29
Champions,20770,ABSTRACT CIRCLE JOURNAL ,450,809.1,48,41
Champions,20771,CHRYSANTHEMUM  JOURNAL,370,609.31,64,45
Champions,20772,GARDEN PATH JOURNAL,408,736.81,68,50
Champions,20773,BLUE PAISLEY NOTEBOOK,157,259.05,51,38
Champions,20774,GREEN FERN NOTEBOOK,99,163.35,33,27
Champions,20775,DAISY NOTEBOOK ,93,153.45,31,21
Champions,20776,ABSTRACT CIRCLES NOTEBOOK,66,108.89999999999999,25,23
Champions,20777,CHRYSANTHEMUM NOTEBOOK,217,358.05,50,36
Champions,20778,GARDEN PATH NOTEBOOK ,136,224.4,42,30
Champions,20780,BLACK EAR MUFF HEADPHONES,98,523.16,41,19
Champions,20781,GOLD EAR MUFF HEADPHONES,59,281.43,26,20
Champions,20782,CAMOUFLAGE EAR MUFF HEADPHONES,83,457.43,32,21
Champions,20783,HEART EAR MUFF HEADPHONES,107,531.99,22,11
Champions,20784,RED RETRO BAR STOOL,6,235.7,4,3
Champions,20785,FUSCHIA RETRO BAR STOOL,23,866.85,9,6
Champions,20786,BLACK RETRO BAR STOOL,2,79.9,2,2
Champions,20787,BLUE RETRO BAR STOOL,8,315.6,6,5
Champions,20793,BLUE TILED TRAY,12,81.0,5,5
Champions,20794,BLUE  TILE HOOK,139,350.84999999999997,21,19
Champions,20795,LARGE BLUE PROVENCAL CERAMIC BALL,30,63.0,5,5
Champions,20796,SMALL BLUE PROVENCAL CERAMIC BALL,40,66.0,7,6
Champions,20798,CLEAR MILKSHAKE GLASS,328,624.0,24,19
Champions,20799,PINK MILKSHAKE GLASS,135,148.3,7,6
Champions,20800,LARGE GLASS SUNDAE DISH CLEAR,4,10.2,1,1
Champions,20801,LARGE PINK GLASS SUNDAE DISH,680,569.6800000000001,41,34
Champions,20802,SMALL GLASS SUNDAE DISH CLEAR,672,770.04,43,37
Champions,20803,SMALL PINK GLASS SUNDAE DISH,851,438.45,33,26
Champions,20804,GLASS CHICKEN BUTTER DISH,87,143.54999999999998,13,10
Champions,20812,EMBOSSED FLOWER TRELLIS PHOTO FRAME,5,12.75,3,3
Champions,20814,SILVER FINCH DECORATION,157,168.89000000000001,5,3
Champions,20816,GOLD FLOWER CUSHION COVER ,6,40.5,1,1
Champions,20818,GOLD TEDDY BEAR,24,65.0,11,11
Champions,20819,SILVER TEDDY BEAR,93,232.46,28,20
Champions,20820,SILVER LOOKING MIRROR,13,64.35,7,5
Champions,20821,GOLDIE LOOKING MIRROR,12,59.400000000000006,6,6
Champions,20823,GOLD WINE GOBLET,156,243.56,10,7
Champions,20825,GOLD WINE GLASS,294,998.82,2,1
Champions,20826,SILVER APERITIF GLASS,258,147.36,9,6
Champions,20827,GOLD APERITIF GLASS,124,105.48,6,3
Champions,20828,GLITTER BUTTERFLY CLIPS,2855,6578.25,280,98
Champions,20829,GLITTER HANGING BUTTERFLY STRING,3677,7202.09,249,89
Champions,20830,SILVER PHOTO FRAME,222,346.2,31,22
Champions,20831,GOLD PHOTO FRAME,335,486.65999999999997,39,23
Champions,20832,RED FLOCK LOVE HEART PHOTO FRAME,1185,717.41,70,53
Champions,20833,SHAKER THROW  QUILTED,12,153.0,1,1
Champions,20835,FRENCH LATTICE CUSHION COVER ,72,60.0,7,7
Champions,20836,FRENCH PAISLEY CUSHION COVER,164,174.28000000000003,16,12
Champions,20837,FRENCH FLORAL CUSHION COVER ,90,87.42000000000002,10,9
Champions,20838,FRENCH LATTICE CUSHION COVER ,249,228.79,25,23
Champions,20839,FRENCH PAISLEY CUSHION COVER ,302,359.94,36,30
Champions,20840,FRENCH FLORAL CUSHION COVER ,641,934.3299999999999,40,30
